dates	cp	slope	colour	group	diff_jump	park_depth	wmo	cycle	num_date	biovolume
2022-06-08T21:40:15Z	0.21543551599975783	0.3870368809446076	jump	group_50	0.00806326835301266	1000 m	6904240	5	1654724415	0.27903412789207577
2022-06-09T00:40:14Z	0.2431604040679852	1.2420575500384745	jump	group_51	0.025861823293046482	1000 m	6904240	5	1654735214	0.9712655208857855
2022-06-09T01:10:14Z	0.27706423284710274	1.627383781397642	jump	group_52	0.033903828779117545	1000 m	6904240	5	1654737014	0.9712655208857855
2022-06-09T01:40:14Z	0.2795870963807519	0.12109744961515999	jump	group_62	0.0025228635336491667	1000 m	6904240	5	1654738814	0.5310982036958922
2022-06-10T00:10:14Z	0.28526936392933266	0.1515749664259722	jump	group_100	0.0031578118005410882	1000 m	6904240	5	1654819814	0.36280735471248815
2022-06-10T01:40:12Z	0.30807950019204855	0.9887128206396775	jump	group_104	0.020598183763326616	1000 m	6904240	5	1654825212	0.5189015554366891
2022-06-10T03:40:12Z	0.3227210379848636	0.6417833273644556	jump	group_105	0.013370485986759495	1000 m	6904240	5	1654832412	0.32203733651597266
2022-06-10T04:10:12Z	0.3246347610099645	0.09185870520484317	jump	group_106	0.0019137230251008996	1000 m	6904240	5	1654834212	0.32203733651597266
2022-06-10T04:40:12Z	0.32686859568447985	0.10722406437673547	jump	group_107	0.0022338346745153226	1000 m	6904240	5	1654836012	0.32203733651597266
2022-06-10T05:10:12Z	0.3303814297292617	0.1686160341495295	jump	group_108	0.003512834044781865	1000 m	6904240	5	1654837812	0.32203733651597266
2022-06-10T05:40:12Z	0.3326184768854002	0.10737826349464717	jump	group_114	0.002237047156138483	1000 m	6904240	5	1654839612	0.4603805444951634
2022-06-10T08:40:12Z	0.337416366389512	0.15356315303134413	jump	group_115	0.00319923235481967	1000 m	6904240	5	1654850412	0.2478840008392771
2022-06-10T09:10:12Z	0.33933713473374305	0.09219688052309037	jump	group_116	0.0019207683442310497	1000 m	6904240	5	1654852212	0.2478840008392771
2022-06-10T09:40:12Z	0.3605266858510633	1.0170984536313712	jump	group_119	0.021189551117320238	1000 m	6904240	5	1654854012	0.27027315424485715
2022-06-10T11:10:12Z	0.3650359060725365	0.1391696593771918	jump	group_120	0.0028993679036914966	1000 m	6904240	5	1654859412	0.27027315424485715
2022-06-10T11:40:12Z	0.3727778439732464	0.37161301923407647	jump	group_126	0.007741937900709928	1000 m	6904240	5	1654861212	0.3468887239026045
2022-06-10T14:40:12Z	0.37697765859805576	0.09306834888969905	jump	group_143	0.0019389239352020637	1000 m	6904240	5	1654872012	0.8171182103091279
2022-06-10T23:10:12Z	0.3818290842988925	0.12423164458010925	jump	group_144	0.0025881592620856098	1000 m	6904240	5	1654902612	0.3527293707836667
2022-06-10T23:40:12Z	0.3847427665935622	0.13985675014414586	jump	group_145	0.002913682294669706	1000 m	6904240	5	1654904412	0.1705240366400618
2022-06-11T00:10:12Z	0.3954444633576656	0.5136814446769619	jump	group_146	0.010701696764103374	1000 m	6904240	5	1654906212	0.1705240366400618
