group	cycle	wmo	park_depth	mean_date	uvp_points	ost_points	group_total_biovolume	slope	weighted_group_biovolume
group_87	10	4903634	500 m	2022-06-28T07:14:04Z	7	26	1.5648357649531075	0.004720627353233588	0.2235479664218725
group_97	10	4903634	500 m	2022-06-28T16:14:04Z	2	9	0.4285432836383364	0.0033390309722100137	0.2142716418191682
last_group	10	4903634	500 m	2022-06-29T17:14:02Z	1	5	0.6769999030691625	0.0062581584338284035	0.6769999030691625
group_142	11	4903634	500 m	2022-07-09T05:10:03Z	11	46	2.9584603568610226	0.00601348194448296	0.26895094153282023
group_16	11	4903634	500 m	2022-07-06T23:10:06Z	3	14	0.4903281852814137	0.0028988834748926956	0.1634427284271379
group_30	11	4903634	500 m	2022-07-07T05:10:06Z	3	13	0.7936983511382449	0.0075614389246751595	0.26456611704608163
group_56	11	4903634	500 m	2022-07-07T16:10:05Z	6	25	1.648208160976202	0.004590350052174466	0.27470136016270036
group_69	11	4903634	500 m	2022-07-08T01:10:05Z	3	12	0.5571520771047437	0.006249639399398387	0.18571735903491457
group_94	11	4903634	500 m	2022-07-08T13:10:05Z	3	14	0.7510387109859673	0.009207384287917222	0.25034623699532244
group_101	12	4903634	500 m	2022-07-18T19:25:06Z	3	15	2.6234819914090606	0.002767318542791349	0.8744939971363536
group_115	12	4903634	500 m	2022-07-19T03:25:05Z	3	13	2.4490069262419714	0.00647523081594234	0.8163356420806571
group_142	12	4903634	500 m	2022-07-19T12:25:05Z	6	25	3.6571622935113965	0.004884207759021791	0.6095270489185661
group_18	12	4903634	500 m	2022-07-17T01:25:07Z	3	16	3.7194625584659216	0.007805803138744127	1.2398208528219739
group_39	12	4903634	500 m	2022-07-17T11:25:07Z	5	19	4.026783747377999	0.007233085141924704	0.8053567494755998
group_53	12	4903634	500 m	2022-07-17T19:25:06Z	3	13	2.0214943385714075	0.004480207885341271	0.6738314461904692
group_64	12	4903634	500 m	2022-07-18T02:25:06Z	2	10	3.1930025103510684	0.005343482125000021	1.5965012551755342
group_85	12	4903634	500 m	2022-07-18T11:25:06Z	3	15	2.69832246492745	0.00552416365147674	0.8994408216424833
group_108	13	4903634	500 m	2022-07-28T19:43:29Z	7	27	9.129964708156232	0.008038933344614354	1.3042806725937475
group_115	13	4903634	500 m	2022-07-29T05:43:29Z	1	3	1.885842411796906	0.006257876703136711	1.885842411796906
group_124	13	4903634	500 m	2022-07-29T08:43:29Z	2	8	2.6104264261354313	0.006589087331946265	1.3052132130677156
group_127	13	4903634	500 m	2022-07-29T11:43:29Z	1	2	0.5434666396937646	0.008418837169700488	0.5434666396937646
group_37	13	4903634	500 m	2022-07-27T07:43:31Z	7	28	5.906441927181689	0.006051770041335552	0.8437774181688127
group_43	13	4903634	500 m	2022-07-27T17:43:31Z	1	3	0.7924386072137907	0.0100171127127201	0.7924386072137907
group_64	13	4903634	500 m	2022-07-27T23:43:30Z	5	19	6.2511547403422085	0.006939124928108636	1.2502309480684417
group_69	13	4903634	500 m	2022-07-28T05:43:30Z	1	4	0.2477122162640828	0.006762182595056343	0.2477122162640828
group_79	13	4903634	500 m	2022-07-28T10:43:30Z	2	9	4.411865741755503	0.00813214864006484	2.2059328708777515
group_8	13	4903634	500 m	2022-07-26T23:43:31Z	1	6	0.6492281893257754	0.0015494804879554458	0.6492281893257754
last_group	13	4903634	500 m	2022-07-29T19:43:29Z	1	7	1.0764544666285816	0.0015535866116060948	1.0764544666285816
group_121	14	4903634	500 m	2022-08-08T03:13:22Z	5	21	2.0837945799151836	0.0029087386907966804	0.4167589159830367
group_17	14	4903634	500 m	2022-08-06T02:13:24Z	2	11	1.2465204148596922	7.662835265315748e-4	0.6232602074298461
group_81	14	4903634	500 m	2022-08-06T21:13:23Z	15	62	8.362721017555616	0.0035947061121459492	0.5575147345037077
group_99	14	4903634	500 m	2022-08-07T18:13:23Z	4	16	2.073888386139691	0.0041301850023350165	0.5184720965349228
last_group	14	4903634	500 m	2022-08-08T15:13:22Z	5	24	5.567856097971517	0.004336050495814975	1.1135712195943035
group_105	15	4903634	500 m	2022-08-17T17:48:47Z	7	28	2.4949877057789225	0.004521383884186062	0.35642681511127466
group_126	15	4903634	500 m	2022-08-18T08:48:46Z	2	11	0.9800265020332577	0.004365260108227842	0.49001325101662885
group_136	15	4903634	500 m	2022-08-18T15:48:46Z	1	5	0.4198395711338102	0.004981113350339406	0.4198395711338102
group_139	15	4903634	500 m	2022-08-18T17:48:46Z	1	2	0.18300699215824445	0.003989527492631595	0.18300699215824445
group_16	15	4903634	500 m	2022-08-16T01:48:49Z	3	14	1.2684514777332883	0.006522465902869005	0.4228171592444294
group_31	15	4903634	500 m	2022-08-16T09:48:49Z	3	13	1.2227569866506558	0.0019390805906117914	0.40758566221688525
group_49	15	4903634	500 m	2022-08-16T16:48:49Z	4	17	2.008553284691658	0.005341103620086267	0.5021383211729145
group_71	15	4903634	500 m	2022-08-17T03:48:48Z	5	21	2.276650516417741	0.003507063458936832	0.4553301032835482
group_76	15	4903634	500 m	2022-08-17T09:48:48Z	1	4	0.326160147424785	0.0039022804144499545	0.326160147424785
last_group	15	4903634	500 m	2022-08-18T19:48:46Z	1	5	0.3140207611677667	0.0024971075365596285	0.3140207611677667
group_105	16	4903634	500 m	2022-08-27T17:39:15Z	6	25	2.1892698264810813	0.003602296277196651	0.36487830441351354
group_123	16	4903634	500 m	2022-08-28T06:39:14Z	3	13	1.3786794035335146	0.004104774145509027	0.4595598011778382
group_134	16	4903634	500 m	2022-08-28T11:39:14Z	2	10	0.6562713243078941	0.005262130716833309	0.32813566215394707
group_21	16	4903634	500 m	2022-08-26T01:39:17Z	4	19	1.3030372718661822	0.003449763309920806	0.32575931796654556
group_41	16	4903634	500 m	2022-08-26T11:39:17Z	4	18	1.6963648889782754	0.0050498060008507374	0.42409122224456886
group_74	16	4903634	500 m	2022-08-27T00:39:16Z	7	32	2.708572213946117	0.003407132367406808	0.38693888770658813
last_group	16	4903634	500 m	2022-08-28T17:39:14Z	2	11	0.3967060219207813	0.003375322235583544	0.19835301096039065
group_102	17	4903634	500 m	2022-09-06T13:49:14Z	8	35	2.5906140086168286	0.002798390954506395	0.32382675107710357
group_110	17	4903634	500 m	2022-09-07T00:49:13Z	1	7	0.50143687268269	0.004641717565670445	0.50143687268269
group_129	17	4903634	500 m	2022-09-07T10:49:13Z	1	7	0.5623628555628208	0.005997251540702853	0.5623628555628208
group_137	17	4903634	500 m	2022-09-07T14:49:13Z	1	5	0.39481640121340394	0.008026085074723854	0.39481640121340394
group_30	17	4903634	500 m	2022-09-05T04:49:16Z	5	23	1.5210308992516872	0.003389440643599831	0.30420617985033743
group_38	17	4903634	500 m	2022-09-05T12:49:16Z	1	7	0.26288645344534417	0.00787014328106228	0.26288645344534417
group_58	17	4903634	500 m	2022-09-05T19:49:15Z	4	19	0.9327286925942444	0.002409754478227633	0.2331821731485611
group_65	17	4903634	500 m	2022-09-06T02:49:14Z	1	5	0.18564101087475657	0.004941321873403626	0.18564101087475657
group_119	18	4903634	500 m	2022-09-16T18:21:00Z	14	57	8.4777016231918	0.004801178055780994	0.6055501159422715
group_13	18	4903634	500 m	2022-09-15T00:21:02Z	2	11	1.7913040644495641	0.0011769994746125834	0.8956520322247821
group_33	18	4903634	500 m	2022-09-15T08:21:02Z	4	19	1.6364123427220907	0.005243754250120451	0.40910308568052267
group_56	18	4903634	500 m	2022-09-15T21:21:02Z	3	22	1.5914049928578375	0.0077060275259153745	0.5304683309526125
group_61	18	4903634	500 m	2022-09-16T01:21:01Z	1	4	0.4683971222802099	0.0052805281007353155	0.4683971222802099
last_group	18	4903634	500 m	2022-09-17T16:21:00Z	4	17	1.6565683042920867	0.0049170180017476806	0.41414207607302167
group_104	19	4903634	500 m	2022-09-26T21:25:59Z	3	12	0.7664992521601722	0.003289202006656262	0.25549975072005743
group_112	19	4903634	500 m	2022-09-27T02:25:59Z	2	7	0.5331023469191134	0.0033538758718703043	0.2665511734595567
group_116	19	4903634	500 m	2022-09-27T05:25:59Z	1	3	0.36778908460254045	0.008057747263871207	0.36778908460254045
group_135	19	4903634	500 m	2022-09-27T11:25:59Z	5	18	2.5937061278180726	0.0028470175457422624	0.5187412255636146
