group	min_time	max_time	nb_points	first_cp	last_cp	delta_x	delta_y	slope	min_drifting_time	max_drifting_time	small_flux	big_flux	park_depth	wmo	cycle
group_56	2022-12-17T23:20:38Z	2022-12-18T05:20:36Z	13	0.15946870133868343	0.1607499313304191	0.24997685185185184	3.2030749793391516e-4	0.0012813486351278022	2022-12-17T02:20:38Z	2022-12-21T18:20:33Z	5.145068110319383	2.7635622169790897	1000 m	4903634	27
group_62	2022-12-18T06:20:36Z	2022-12-18T08:20:36Z	5	0.16171112321297304	0.162672546123502	0.08333333333333333	2.4035572763223684e-4	0.002884268731586842	2022-12-17T02:20:38Z	2022-12-21T18:20:33Z	5.145068110319383	2.7635622169790897	1000 m	4903634	27
group_94	2022-12-18T12:50:36Z	2022-12-19T00:20:36Z	24	0.16395480290640146	0.16748312998654388	0.4791666666666667	8.820817700356046e-4	0.0018408663026830007	2022-12-17T02:20:38Z	2022-12-21T18:20:33Z	5.145068110319383	2.7635622169790897	1000 m	4903634	27
group_132	2022-12-19T01:20:36Z	2022-12-19T19:20:35Z	37	0.17165698757118167	0.17776508600542634	0.749988425925926	0.0015270246085611686	0.002036064232159215	2022-12-17T02:20:38Z	2022-12-21T18:20:33Z	5.145068110319383	2.7635622169790897	1000 m	4903634	27
group_197	2022-12-19T20:20:35Z	2022-12-21T03:50:33Z	64	0.17905219083513094	0.18871870109780844	1.312476851851852	0.002416627565669377	0.0018412725239760328	2022-12-17T02:20:38Z	2022-12-21T18:20:33Z	5.145068110319383	2.7635622169790897	1000 m	4903634	27
group_214	2022-12-21T04:50:33Z	2022-12-21T12:20:33Z	16	0.19130038735120528	0.19388374095678235	0.3125	6.458384013942678e-4	0.002066682884461657	2022-12-17T02:20:38Z	2022-12-21T18:20:33Z	5.145068110319383	2.7635622169790897	1000 m	4903634	27
group_220	2022-12-21T13:20:33Z	2022-12-21T15:20:33Z	5	0.19614554480556856	0.19679200945344028	0.08333333333333333	1.616161619679285e-4	0.001939393943615142	2022-12-17T02:20:38Z	2022-12-21T18:20:33Z	5.145068110319383	2.7635622169790897	1000 m	4903634	27
last_group	2022-12-21T16:20:33Z	2022-12-21T18:20:33Z	5	0.19808525227104223	0.19873203050836377	0.08333333333333333	1.616945593303845e-4	0.0019403347119646142	2022-12-17T02:20:38Z	2022-12-21T18:20:33Z	5.145068110319383	2.7635622169790897	1000 m	4903634	27
group_60	2022-12-27T01:17:49Z	2022-12-28T05:47:47Z	58	0.146678922256721	0.15530753583717832	1.187476851851852	0.002157153395114332	0.001816585638490792	2022-12-27T00:47:49Z	2022-12-31T18:47:44Z	4.295363059425965	1.546933062173813	1000 m	4903634	28
group_105	2022-12-28T06:47:47Z	2022-12-29T04:17:46Z	44	0.1562674206556067	0.1610703029616826	0.8958217592592592	0.0012007205765189738	0.0013403565654755145	2022-12-27T00:47:49Z	2022-12-31T18:47:44Z	4.295363059425965	1.546933062173813	1000 m	4903634	28
group_132	2022-12-29T05:17:46Z	2022-12-29T17:47:46Z	26	0.16363420017309133	0.1661997418308319	0.5208333333333334	6.413854144351402e-4	0.0012314599957154691	2022-12-27T00:47:49Z	2022-12-31T18:47:44Z	4.295363059425965	1.546933062173813	1000 m	4903634	28
group_147	2022-12-29T18:47:46Z	2022-12-30T01:17:45Z	14	0.16684138443727714	0.1684459414005074	0.2708217592592593	4.0113924080756314e-4	0.0014811928033579833	2022-12-27T00:47:49Z	2022-12-31T18:47:44Z	4.295363059425965	1.546933062173813	1000 m	4903634	28
group_176	2022-12-30T02:17:45Z	2022-12-30T15:47:45Z	28	0.170051142272806	0.1735848533005239	0.5625	8.834277569294766e-4	0.0015705382345412916	2022-12-27T00:47:49Z	2022-12-31T18:47:44Z	4.295363059425965	1.546933062173813	1000 m	4903634	28
group_219	2022-12-30T16:47:45Z	2022-12-31T13:17:44Z	42	0.17487061351731625	0.18033970995785897	0.8541550925925926	0.00136727411013568	0.0016007328434765073	2022-12-27T00:47:49Z	2022-12-31T18:47:44Z	4.295363059425965	1.546933062173813	1000 m	4903634	28
last_group	2022-12-31T14:17:44Z	2022-12-31T18:47:44Z	10	0.1819496918672979	0.18275492913381636	0.1875	2.013093166296151e-4	0.0010736496886912805	2022-12-27T00:47:49Z	2022-12-31T18:47:44Z	4.295363059425965	1.546933062173813	1000 m	4903634	28
group_25	2023-01-06T01:36:00Z	2023-01-06T12:36:00Z	23	0.14508307144760177	0.146678922256721	0.4583333333333333	3.9896270227980646e-4	8.704640777013959e-4	2023-01-06T01:06:00Z	2023-01-10T18:35:55Z	4.886211283684123	1.4744477617687997	1000 m	4903634	29
