max_time	min_time	small_flux	big_flux	park_depth	wmo	cycle	window_size	quartile
2022-10-14T17:02:44Z	2022-10-13T17:32:44Z	12.659989791129624	3.6726734045559652	200 m	4903634	21	3	90
2022-10-14T17:02:44Z	2022-10-13T17:32:44Z	NA	0	200 m	4903634	21	3	95
2022-10-14T17:02:44Z	2022-10-13T17:32:44Z	7.499496101716877	0	200 m	4903634	21	5	90
2022-10-14T17:02:44Z	2022-10-13T17:32:44Z	NA	0	200 m	4903634	21	5	95
2022-10-14T17:02:44Z	2022-10-13T17:32:44Z	7.499496101716877	0	200 m	4903634	21	7	90
2022-10-14T17:02:44Z	2022-10-13T17:32:44Z	NA	0	200 m	4903634	21	7	95
2022-10-24T18:01:49Z	2022-10-23T18:31:49Z	12.936706344280879	0	200 m	4903634	22	3	90
2022-10-24T18:01:49Z	2022-10-23T18:31:49Z	12.936706344280879	0	200 m	4903634	22	3	95
2022-10-24T18:01:49Z	2022-10-23T18:31:49Z	12.936706344280879	0	200 m	4903634	22	5	90
2022-10-24T18:01:49Z	2022-10-23T18:31:49Z	12.936706344280879	0	200 m	4903634	22	5	95
2022-10-24T18:01:49Z	2022-10-23T18:31:49Z	12.936706344280879	0	200 m	4903634	22	7	90
2022-10-24T18:01:49Z	2022-10-23T18:31:49Z	12.936706344280879	0	200 m	4903634	22	7	95
2022-11-03T17:48:04Z	2022-11-02T18:18:04Z	9.474005619200668	8.107095136666382	200 m	4903634	23	3	90
2022-11-03T17:48:04Z	2022-11-02T18:18:04Z	15.077527825199473	0	200 m	4903634	23	3	95
2022-11-03T17:48:04Z	2022-11-02T18:18:04Z	9.474005619200668	8.107095136666382	200 m	4903634	23	5	90
2022-11-03T17:48:04Z	2022-11-02T18:18:04Z	15.077527825199473	0	200 m	4903634	23	5	95
2022-11-03T17:48:04Z	2022-11-02T18:18:04Z	9.474005619200668	8.107095136666382	200 m	4903634	23	7	90
2022-11-03T17:48:04Z	2022-11-02T18:18:04Z	15.077527825199473	0	200 m	4903634	23	7	95
