wmo	size_class	max_abundance	standard_dev	time_max_abundance	depth	r2	date	xmax	xmin	DOY
6904240	NP_Size_203	0.0064750164417298525	60.44093472164573	215.1506000764841	1625	0.6453545122650592	2022-08-04	246	185	216
6904240	NP_Size_203	0.006008380560279754	42.97843171243667	211.22435771539742	1875	0.8733806839718501	2022-07-31	233	190	212
6904240	NP_Size_256	0.27991198542894724	31.174359854864246	171.97891772156663	50	0.9005847487465553	2022-06-21	188	157	172
6904240	NP_Size_256	0.13479358029199182	21.706274654694166	187.80244969927557	70	0.6621002593937011	2022-07-07	199	177	188
6904240	NP_Size_256	0.0945996771553509	62.53601114464605	168.60534897327574	90	0.6862003267719727	2022-06-18	200	138	169
6904240	NP_Size_256	0.035074902096072905	119.52968522710741	171.35220190977225	170	0.24230598127715486	2022-06-21	232	112	172
6904240	NP_Size_256	0.029912113253801012	73.05835177515716	195.50486594851327	190	0.3081730338342493	2022-07-15	233	159	196
6904240	NP_Size_256	0.02625686147479794	70.94079836021764	203.7330730560013	225	0.1422532240298745	2022-07-23	240	169	204
6904240	NP_Size_256	0.024517975523354555	54.57995876889775	209.70196769491506	275	0.36521695663163123	2022-07-29	237	183	210
6904240	NP_Size_256	0.021632435292231494	46.1957156803875	214.21979731467675	350	0.6945919217258094	2022-08-03	238	192	215
6904240	NP_Size_256	0.013735712078304029	55.116760342466556	211.55127729685535	450	0.8063352004922284	2022-07-31	240	184	212
6904240	NP_Size_256	0.0096519437060575	70.29433575396916	192.63633656712076	550	0.6538820245013284	2022-07-12	228	158	193
6904240	NP_Size_256	0.012660199823146714	52.31800889993121	193.17278700795484	700	0.7311832382356127	2022-07-13	220	168	194
6904240	NP_Size_256	0.018908807648972476	72.3722951188338	180.6463770057429	900	0.9985646655747309	2022-06-30	217	145	181
6904240	NP_Size_256	0.012967309414422708	67.65898252618474	204.86223249552177	1375	0.6734086059998867	2022-07-24	239	172	205
6904240	NP_Size_256	0.009936352694958649	64.33789746589801	216.34600298797434	1625	0.578275525404417	2022-08-05	249	185	217
6904240	NP_Size_256	0.009227710030304925	44.795118128139684	211.94672604969213	1875	0.8264589480842134	2022-07-31	235	190	212
6904240	NP_Size_323	0.38462375988351716	22.158138466373643	178.59208077786883	50	0.9446977304434572	2022-06-28	190	168	179
6904240	NP_Size_323	0.22462717195086546	15.834960812449083	187.71745499868896	70	0.8119235738895105	2022-07-07	196	180	188
6904240	NP_Size_323	0.13715410708234732	28.901954499993664	187.19570045712976	90	0.6769780390549485	2022-07-07	202	173	188
6904240	NP_Size_323	0.046583774815200346	140.3773936532274	164.2287329722551	170	0.15275013532540604	2022-06-14	235	95	165
6904240	NP_Size_323	0.039529446112934526	79.3801129956507	199.55338071750427	190	0.17480739815505686	2022-07-19	240	160	200
6904240	NP_Size_323	0.03463475850397672	68.30249043229998	208.53665133914762	225	0.16666283421943373	2022-07-28	243	175	209
6904240	NP_Size_323	0.03229685170947534	56.503622855694566	211.72892284576508	275	0.31195044700495556	2022-07-31	240	184	212
6904240	NP_Size_323	0.02749639548521773	51.00951956621773	217.20207220550026	350	0.6566746017989142	2022-08-06	243	192	218
6904240	NP_Size_323	0.018894424176733933	56.16865616268424	215.8641937340638	450	0.9414019490739375	2022-08-04	244	188	216
6904240	NP_Size_323	0.012673490737466592	71.52652536810737	189.9367443580117	550	0.6178547838730799	2022-07-09	226	155	190
6904240	NP_Size_323	0.01637316991518262	48.572707155988624	196.65239186968023	700	0.8666083695731135	2022-07-16	221	173	197
6904240	NP_Size_323	0.022999235760348066	57.543042595116674	196.2510655395127	900	0.8687104313284431	2022-07-16	226	168	197
6904240	NP_Size_323	0.017537807182917028	102.58823575980401	193.55006803992154	1375	0.4535940416766544	2022-07-13	245	143	194
6904240	NP_Size_323	0.014195129043706707	64.55741647843504	214.7811702195056	1625	0.3991901447886427	2022-08-03	248	183	215
6904240	NP_Size_323	0.013248363998944326	50.41721830930908	212.79503524055278	1875	0.7190880146782067	2022-08-01	239	188	213
6904240	NP_Size_406	0.5532273867354962	18.964355364276337	180.776945047596	50	0.9706849509889072	2022-06-30	191	172	181
6904240	NP_Size_406	0.36461410040269965	13.417708217872415	187.11194728976662	70	0.8822472366912248	2022-07-07	194	181	188
6904240	NP_Size_406	0.2196860523856737	21.10826439192805	188.3339362377325	90	0.7725684406058203	2022-07-08	199	178	189
6904240	NP_Size_406	0.17484561920901284	54.052188103883324	173.259228651445	110	0.6981612904427518	2022-06-23	201	147	174
6904240	NP_Size_406	0.13112785257287607	56.82680165307711	183.14392282504954	130	0.3413588373241345	2022-07-03	212	155	184
6904240	NP_Size_406	0.08560931221747095	153.42947990204038	174.4547805242582	150	0.05451181544611905	2022-06-24	252	98	175
6904240	NP_Size_406	0.06816270123787327	110.70623667625868	210.42192256446347	170	0.03928693456272303	2022-07-30	266	156	211
6904240	NP_Size_406	0.06724626574902048	53.08760283772552	207.5890371908948	190	0.3371918711713118	2022-07-27	235	182	208
6904240	NP_Size_406	0.05460394334909643	57.481467538830984	213.1399313007604	225	0.3608491908446687	2022-08-02	242	185	214
6904240	NP_Size_406	0.04827645822154667	57.010707108558165	215.3167534921411	275	0.29030253442919896	2022-08-04	244	187	216
6904240	NP_Size_406	0.041365241855643164	52.62837344299132	217.05625438857703	350	0.5396749920297492	2022-08-06	244	191	218
6904240	NP_Size_406	0.028500885996226202	60.2193741158707	216.1905339984372	450	0.8818923773496701	2022-08-05	247	187	217
6904240	NP_Size_406	0.018272025560742537	67.40351727883544	197.14751936592876	550	0.8445520898760209	2022-07-17	231	164	198
6904240	NP_Size_406	0.02167188933246349	55.7657116298501	195.3722206175369	700	0.9103065724929599	2022-07-15	224	168	196
6904240	NP_Size_406	0.03029393554841738	49.371742471281635	204.8189138450863	900	0.7275780483912065	2022-07-24	230	181	205
6904240	NP_Size_406	0.023139060253861858	312.40292394332334	197.30985571849268	1375	0.0039388079671283105	2022-07-17	354	42	198
6904240	NP_Size_406	0.02043481249354999	88.67209365611288	226.972864316253	1625	0.21208698075710097	2022-08-15	272	183	227
6904240	NP_Size_406	0.020347704255194873	58.724611036969016	214.65780026773152	1875	0.42289678241623174	2022-08-03	245	186	215
6904240	NP_Size_512	0.6654351351638289	16.160334253669888	182.88606145032384	50	0.9662461205785688	2022-07-02	191	175	183
6904240	NP_Size_512	0.5174029399838164	11.08532892494836	186.67502132909033	70	0.9204832889912296	2022-07-06	193	182	187
6904240	NP_Size_512	0.2948646693938848	17.00021527368339	188.178054792672	90	0.849993162518549	2022-07-08	197	180	189
6904240	NP_Size_512	0.21761616229373174	27.848359931806556	189.30690985715273	110	0.6979437429750184	2022-07-09	204	176	190
6904240	NP_Size_512	0.23297399032195165	22.42492169268149	194.19562629087505	130	0.5937259485464105	2022-07-14	206	183	195
6904240	NP_Size_512	0.12605550057245665	56.5649597810996	201.02169366002448	150	0.1456806535366193	2022-07-21	230	173	202
6904240	NP_Size_512	0.09797275668695013	51.2547337690185	210.30270799743224	190	0.3177366982007741	2022-07-30	236	185	211
6904240	NP_Size_512	0.08949751318937177	48.79095193718378	214.31578312898887	225	0.44212278621299883	2022-08-03	239	190	215
6904240	NP_Size_512	0.07422642321870343	55.00435062529353	220.52328567739607	275	0.48666534467631783	2022-08-09	249	194	221
6904240	NP_Size_512	0.059998526052584385	47.562539016189284	217.4227626219996	350	0.5387663406469845	2022-08-06	242	194	218
6904240	NP_Size_512	0.041656011607864946	53.56296992113199	217.38144287940167	450	0.9428553395794179	2022-08-06	245	191	218
6904240	NP_Size_512	0.024496726975812257	70.96698434263521	202.52057923563973	550	0.3054638578129142	2022-07-22	239	168	203
6904240	NP_Size_512	0.023321160503216264	52.467301446894155	202.97229046897945	700	0.6305613508152852	2022-07-22	230	177	203
6904240	NP_Size_512	0.032467610540275145	47.06674974790412	209.48410105455483	900	0.5296929142363211	2022-07-29	234	186	210
6904240	NP_Size_512	0.026765083311205425	65.86666338576403	228.78480858440173	1625	0.40823995562840676	2022-08-17	262	196	229
6904240	NP_Size_512	0.0230957628014973	72.60643385598708	224.80956781338804	1875	0.30663143645058966	2022-08-13	262	189	225
6904240	NP_Size_645	0.6813477051390388	15.290696853175579	181.56383690606256	50	0.948138313543262	2022-07-01	190	174	182
6904240	NP_Size_645	0.5976452463795111	9.422490625572523	186.2649252785514	70	0.9415374069719089	2022-07-06	191	182	187
6904240	NP_Size_645	0.4168549960968355	11.434224599455773	187.26527273694768	90	0.9070900029654104	2022-07-07	193	182	188
6904240	NP_Size_645	0.279196855311966	18.672210288523473	193.00339812989768	110	0.8960874545579267	2022-07-13	203	184	194
6904240	NP_Size_645	0.3142516960661549	17.76833563482815	194.03977292382132	130	0.8411142103369197	2022-07-14	203	186	195
6904240	NP_Size_645	0.2627590890247523	18.21358458930318	195.5422371278949	150	0.6178563031029765	2022-07-15	205	187	196
6904240	NP_Size_645	0.19046060504243598	20.65120005315141	198.9233585993584	170	0.06674432640146855	2022-07-18	210	189	199
6904240	NP_Size_645	0.1760665706501945	20.51127285321795	199.53658562127268	190	0.46131209145242646	2022-07-19	210	190	200
6904240	NP_Size_645	0.112721345396152	52.676873983811745	213.13896518226565	225	0.21863291546266728	2022-08-02	240	187	214
6904240	NP_Size_645	0.09473565567312504	50.247642567207095	216.5554513886593	275	0.3230544778500545	2022-08-05	242	192	217
6904240	NP_Size_645	0.0796976004288215	49.869278766058066	218.5912560538104	350	0.724590731305764	2022-08-07	244	194	219
6904240	NP_Size_645	0.06250076741681022	46.82454657042347	218.2691444257722	450	0.9377349840079261	2022-08-07	242	195	219
6904240	NP_Size_645	0.03701463407329795	51.147822496862126	206.31887420160157	550	0.38454428027066434	2022-07-26	232	181	207
6904240	NP_Size_645	0.029873239053669013	42.27956748164274	207.0536119946195	700	0.537176427953431	2022-07-27	229	186	208
6904240	NP_Size_645	0.037230045302839423	38.20109034619144	214.01149955468773	900	0.8692774011019366	2022-08-03	234	195	215
6904240	NP_Size_645	0.03288681457467886	53.84056212149037	233.2316443059341	1375	0.8340885113718716	2022-08-22	261	207	234
