dates	cp	slope	colour	group	diff_jump	park_depth	wmo	cycle
2022-06-18T01:38:31Z	0.09190741878228816	0.27489664256890717	jump	group_58	0.005727013386852234	500 m	1902578	7
2022-06-18T02:08:31Z	0.095092639527126	0.1528905957522166	jump	group_64	0.0031852207448378467	500 m	1902578	7
2022-06-18T09:08:31Z	0.097642643597869	0.13769473477524194	jump	group_73	0.002868640307817541	500 m	1902578	7
2022-06-18T09:38:31Z	0.12034545045568774	1.0897347291752992	jump	group_92	0.02270280685781874	500 m	1902578	7
2022-06-18T19:08:31Z	0.13383618837024489	0.23152058756139346	jump	group_102	0.004823345574195698	500 m	1902578	7
2022-06-19T00:08:29Z	0.1544813954911466	0.6509006153183491	jump	group_103	0.013560429485798942	500 m	1902578	7
2022-06-19T00:38:29Z	0.15739319244101763	0.13976625359380976	jump	last_group	0.002911796949871037	500 m	1902578	7
2022-06-26T08:25:24Z	0.03971419872946824	0.0904877873947869	jump	group_46	0.001885162237391394	500 m	1902578	8
2022-06-26T19:25:24Z	0.08459102245244395	1.625390457849267	jump	group_47	0.03386230120519307	500 m	1902578	8
2022-06-26T19:55:24Z	0.08808849892819971	0.1678788708362768	jump	group_51	0.0034974764757557675	500 m	1902578	8
2022-06-27T07:25:22Z	0.0662001854579259	0.13661699592102347	jump	group_94	0.002846187415021323	500 m	1902578	8
2022-06-27T19:25:22Z	0.07665356697646146	0.10654405917701835	jump	group_97	0.002219667899521216	500 m	1902578	8
2022-06-27T20:55:22Z	0.08077907807246217	0.16757251033959816	jump	group_108	0.0034910939654082956	500 m	1902578	8
2022-06-28T02:25:21Z	0.08872473242723473	0.09160305517270072	jump	group_116	0.0019083969827645986	500 m	1902578	8
2022-06-28T06:25:21Z	0.09541130114848552	0.18346871916838078	jump	group_138	0.0038222649826746002	500 m	1902578	8
2022-06-28T17:25:21Z	0.10498297357893628	0.10730110853701234	jump	last_group	0.0022354397611877574	500 m	1902578	8
2022-07-05T08:11:16Z	0.03563080287443597	0.09039548189575929	jump	group_46	0.001883239206161652	500 m	1902578	9
2022-07-05T20:11:16Z	0.0494683825207939	0.2417946010235644	jump	group_50	0.005037387521324259	500 m	1902578	9
2022-07-05T22:11:15Z	0.05608959555671416	0.2877323302643442	jump	group_54	0.005991093311869852	500 m	1902578	9
2022-07-06T00:11:15Z	0.05924641049445676	0.10608153709218436	jump	group_59	0.002210032022753841	500 m	1902578	9
2022-07-06T05:41:15Z	0.0611416960072905	0.2576469581874064	jump	group_91	0.005367644962237635	500 m	1902578	9
2022-07-06T18:41:15Z	0.07158184904523805	0.12160557765394263	jump	group_92	0.0025334495344571384	500 m	1902578	9
2022-07-06T19:11:15Z	0.07348298976543706	0.09125475456955233	jump	group_104	0.0019011407201990072	500 m	1902578	9
2022-07-07T01:11:14Z	0.08014410704168198	0.1675459231305851	jump	group_115	0.0034905400652205237	500 m	1902578	9
2022-07-07T06:41:14Z	0.08554457643208789	0.09153027346394225	jump	group_122	0.001906880697165464	500 m	1902578	9
2022-07-07T10:11:14Z	0.08808849892819971	0.07632677500638095	jump	group_123	0.00159014114596627	500 m	1902578	9
2022-07-07T10:41:14Z	0.09031575905813122	0.10690848623671222	jump	group_127	0.002227260129931505	500 m	1902578	9
2022-07-07T12:41:14Z	0.10402477498769706	0.551064716963979	jump	group_134	0.011480514936749564	500 m	1902578	9
2022-07-07T16:11:14Z	0.109777412604333	0.09208633270048504	jump	group_137	0.0019184652645934386	500 m	1902578	9
2022-07-07T17:41:14Z	0.37418354888126976	12.676142524333597	jump	group_138	0.2640863025902833	500 m	1902578	9
2022-07-07T18:11:14Z	0.6631843224972135	13.872037133565298	jump	group_140	0.28900077361594373	500 m	1902578	9
2022-07-07T19:11:14Z	0.668697255790514	0.2117258071566077	jump	last_group	0.004410954315762661	500 m	1902578	9
2022-07-14T02:16:57Z	0.04474564593375185	0.2716768003008599	jump	group_47	0.005659933339601249	500 m	1902578	10
2022-07-14T20:16:57Z	0.05861484816583798	0.10606479376387255	jump	group_49	0.002209683203414012	500 m	1902578	10
2022-07-14T21:16:57Z	0.06272178688306153	0.18197616084635213	jump	group_61	0.0037911700176323365	500 m	1902578	10
2022-07-15T03:16:56Z	0.07443389907694024	0.3648457154859405	jump	group_69	0.007600952405957095	500 m	1902578	10
2022-07-15T07:16:56Z	0.07760523040931797	0.09134882417974509	jump	group_70	0.0019031005037446896	500 m	1902578	10
2022-07-15T07:46:56Z	0.08236694677657383	0.22856238562828143	jump	group_75	0.004761716367255864	500 m	1902578	10
2022-07-15T12:46:56Z	0.08109660139074758	0.09142857315624763	jump	group_81	0.0019047619407551591	500 m	1902578	10
2022-07-15T13:46:56Z	0.08109660139074758	0.07619350074198515	jump	group_92	0.0015873645987913576	500 m	1902578	10
2022-07-15T18:46:56Z	0.08363769573492243	0.10673019929395376	jump	group_105	0.002223545818624037	500 m	1902578	10
2022-07-16T01:16:54Z	0.08872473242723473	0.12212769752634299	jump	group_108	0.0025443270317988126	500 m	1902578	10
2022-07-16T02:46:54Z	0.09063404033938131	0.07637535404422267	jump	group_110	0.0015911532092546393	500 m	1902578	10
2022-07-16T03:46:54Z	0.09349971210374068	0.12227352745682095	jump	group_117	0.0025473651553504367	500 m	1902578	10
2022-07-16T07:16:54Z	0.09732380417320534	0.07650316872146211	jump	group_122	0.0015938160150304609	500 m	1902578	10
2022-07-16T09:46:54Z	0.09955621403780789	0.09185138111706624	jump	group_145	0.0019135704399388803	500 m	1902578	10
2022-07-22T23:03:11Z	0.4185043802441598	17.849774820005493	jump	group_9	0.3718703087501145	500 m	1902578	11
2022-07-23T07:33:11Z	0.06588384238369718	0.10625766172299665	jump	group_41	0.002213701285895764	500 m	1902578	11
2022-07-23T17:03:11Z	0.08077907807246217	0.31978434643897197	jump	group_42	0.0066621738841452505	500 m	1902578	11
2022-07-23T17:33:11Z	0.08427322163393966	0.1677188909509197	jump	group_55	0.0034941435614774946	500 m	1902578	11
2022-07-24T15:03:09Z	0.08077907807246217	0.09142131749585446	jump	group_90	0.0019046107811636348	500 m	1902578	11
2022-07-24T17:33:09Z	0.08586247828005972	0.15253834122422935	jump	group_93	0.003177882108838112	500 m	1902578	11
2022-07-24T19:03:09Z	0.08872473242723473	0.07633891397135482	jump	group_141	0.0015903940410698925	500 m	1902578	11
2022-07-25T19:03:08Z	0.104344149014774	0.07663752945722278	jump	last_group	0.001596615197025475	500 m	1902578	11
2022-08-01T13:06:29Z	0.06746580799656564	0.09111761620034041	jump	group_45	0.0018982836708404255	500 m	1902578	12
2022-08-01T18:36:29Z	0.07411690418831691	0.15209126270581838	jump	group_49	0.0031685679730378835	500 m	1902578	12
2022-08-01T20:36:29Z	0.07728798410705387	0.07612100167106849	jump	group_50	0.0015858542014805938	500 m	1902578	12
2022-08-01T21:06:28Z	0.2590046871068539	8.72725021633281	jump	group_53	0.18171670299980006	500 m	1902578	12
2022-08-01T22:36:28Z	0.26398745567877097	0.17542257958551663	jump	group_55	0.0036546370746982637	500 m	1902578	12
2022-08-02T14:36:28Z	0.08904288713012667	0.07634498490188778	jump	group_86	0.001590520518789329	500 m	1902578	12
2022-08-02T15:06:28Z	0.09063404033938131	0.07637535404422267	jump	group_91	0.0015911532092546393	500 m	1902578	12
2022-08-02T17:36:28Z	0.0938182468441041	0.09171974696716532	jump	group_102	0.0019108280618159446	500 m	1902578	12
2022-08-02T23:06:27Z	0.1005133426565322	0.10718130985302475	jump	group_116	0.0022329439552713493	500 m	1902578	12
2022-08-03T06:06:27Z	0.10402477498769706	0.07663141191330068	jump	group_141	0.0015964877481937645	500 m	1902578	12
2022-08-03T18:36:27Z	0.149633105939565	2.0051596127916205	jump	last_group	0.04177415859982543	500 m	1902578	12
2022-08-10T06:43:32Z	0.07316607022322001	0.19764819419707666	jump	group_57	0.004117670712439098	500 m	1902578	13
2022-08-11T01:43:30Z	0.08967927246278712	0.13742097687921515	jump	group_68	0.0028629370183169828	500 m	1902578	13
