depth	nb_image	juld	cycle	nb_object	conc_object	PhaseName	wmo	date
3.299999952316284	116	26706.285925925928	2	0	0	NPAR	1902593	2023-02-13T06:51:44Z
0.8999999761581421	10	26706.286354166667	2	0	0	NPAR	1902593	2023-02-13T06:52:21Z
3.9000000953674316	702	26706.29056712963	2	0	0	NPAR	1902593	2023-02-13T06:58:25Z
0.699999988079071	6	26706.292939814815	2	0	0	NPAR	1902593	2023-02-13T07:01:50Z
975.79998779296875	20	26706.708796296298	3	0	0	PAR	1902593	2023-02-13T17:00:40Z
986	20	26706.79212962963	3	0	0	PAR	1902593	2023-02-13T19:00:40Z
988.9000244140625	20	26706.875462962962	3	0	0	PAR	1902593	2023-02-13T21:00:40Z
989.5999755859375	20	26706.958796296298	3	0	0	PAR	1902593	2023-02-13T23:00:40Z
986.70001220703125	20	26707.04212962963	3	0	0	PAR	1902593	2023-02-14T01:00:40Z
988.29998779296875	20	26707.125462962962	3	0	0	PAR	1902593	2023-02-14T03:00:40Z
990.5	80	26707.15548611111	3	0	0	NPAR	1902593	2023-02-14T03:43:54Z
981.20001220703125	140	26707.15798611111	3	0	0	NPAR	1902593	2023-02-14T03:47:30Z
959.9000244140625	105	26707.16082175926	3	0	0	NPAR	1902593	2023-02-14T03:51:35Z
940.0999755859375	110	26707.163310185184	3	0	0	NPAR	1902593	2023-02-14T03:55:10Z
919.9000244140625	120	26707.16597222222	3	0	0	NPAR	1902593	2023-02-14T03:59:00Z
900.5	105	26707.16857638889	3	0	0	NPAR	1902593	2023-02-14T04:02:45Z
880	105	26707.171006944445	3	0	0	NPAR	1902593	2023-02-14T04:06:15Z
859.9000244140625	105	26707.1734375	3	0	0	NPAR	1902593	2023-02-14T04:09:45Z
839.79998779296875	105	26707.175868055554	3	0	0	NPAR	1902593	2023-02-14T04:13:15Z
820	100	26707.178252314814	3	0	0	NPAR	1902593	2023-02-14T04:16:41Z
799.9000244140625	105	26707.180613425928	3	0	0	NPAR	1902593	2023-02-14T04:20:05Z
779.9000244140625	100	26707.18298611111	3	0	0	NPAR	1902593	2023-02-14T04:23:30Z
759.70001220703125	105	26707.185358796298	3	0	0	NPAR	1902593	2023-02-14T04:26:55Z
739.9000244140625	105	26707.187800925927	3	0	0	NPAR	1902593	2023-02-14T04:30:26Z
719.9000244140625	120	26707.19040509259	3	0	0	NPAR	1902593	2023-02-14T04:34:11Z
700.20001220703125	115	26707.193113425925	3	0	0	NPAR	1902593	2023-02-14T04:38:05Z
679.5999755859375	105	26707.195659722223	3	0	0	NPAR	1902593	2023-02-14T04:41:45Z
659.70001220703125	110	26707.19814814815	3	0	0	NPAR	1902593	2023-02-14T04:45:20Z
640.29998779296875	110	26707.200694444444	3	0	0	NPAR	1902593	2023-02-14T04:49:00Z
619.70001220703125	95	26707.20306712963	3	0	0	NPAR	1902593	2023-02-14T04:52:25Z
599.70001220703125	105	26707.205393518518	3	0	0	NPAR	1902593	2023-02-14T04:55:46Z
579.70001220703125	105	26707.2078125	3	1	0.013605442176870748	NPAR	1902593	2023-02-14T04:59:15Z
559.70001220703125	120	26707.210416666665	3	0	0	NPAR	1902593	2023-02-14T05:03:00Z
540.20001220703125	110	26707.213078703702	3	0	0	NPAR	1902593	2023-02-14T05:06:50Z
519.9000244140625	105	26707.21556712963	3	0	0	NPAR	1902593	2023-02-14T05:10:25Z
500.20001220703125	110	26707.218055555557	3	0	0	NPAR	1902593	2023-02-14T05:14:00Z
480.1000061035156	115	26707.22065972222	3	1	0.012422360248447204	NPAR	1902593	2023-02-14T05:17:45Z
460.5	115	26707.22332175926	3	0	0	NPAR	1902593	2023-02-14T05:21:35Z
