depth	nb_image	juld	cycle	nb_calanoid	conc_calanoid	PhaseName
454.8999938964844	220	26447.152465277777	1	2	0.012987012987012988	NPAR
445.20001220703125	202	26447.153831018517	1	0	0	NPAR
435	174	26447.155081018518	1	1	0.008210180623973728	NPAR
425	178	26447.15625	1	7	0.05617977528089888	NPAR
415	178	26447.157418981482	1	1	0.008025682182985555	NPAR
404.8999938964844	184	26447.15861111111	1	3	0.02329192546583851	NPAR
395	194	26447.15983796296	1	1	0.007363770250368189	NPAR
384.79998779296875	198	26447.161099537036	1	2	0.01443001443001443	NPAR
374.8999938964844	194	26447.16238425926	1	3	0.022091310751104567	NPAR
365	200	26447.16369212963	1	2	0.014285714285714285	NPAR
354.79998779296875	208	26447.165046296297	1	2	0.013736263736263736	NPAR
345.20001220703125	188	26447.16636574074	1	3	0.022796352583586626	NPAR
335.1000061035156	166	26447.16755787037	1	0	0	NPAR
324.8999938964844	174	26447.16869212963	1	1	0.008210180623973728	NPAR
314.79998779296875	180	26447.16986111111	1	1	0.007936507936507938	NPAR
304.79998779296875	178	26447.17103009259	1	2	0.01605136436597111	NPAR
294.8999938964844	186	26447.172233796296	1	4	0.030721966205837177	NPAR
284.8999938964844	182	26447.173460648148	1	3	0.023547880690737835	NPAR
274.8999938964844	184	26447.174699074076	1	1	0.007763975155279504	NPAR
264.8999938964844	178	26447.175960648146	1	1	0.008025682182985555	NPAR
255	180	26447.17722222222	1	4	0.03174603174603175	NPAR
245	194	26447.178506944445	1	4	0.029455081001472757	NPAR
235	196	26447.179814814815	1	5	0.03644314868804665	NPAR
225	186	26447.18115740741	1	1	0.007680491551459294	NPAR
214.89999389648438	190	26447.18252314815	1	10	0.07518796992481203	NPAR
204.8000030517578	186	26447.18391203704	1	7	0.05376344086021506	NPAR
194.89999389648438	160	26447.18517361111	1	12	0.10714285714285714	NPAR
184.89999389648438	156	26447.18634259259	1	12	0.1098901098901099	NPAR
174.8000030517578	148	26447.1875	1	6	0.05791505791505792	NPAR
164.89999389648438	152	26447.18865740741	1	5	0.04699248120300752	NPAR
154.89999389648438	158	26447.18986111111	1	9	0.081374321880651	NPAR
144.89999389648438	156	26447.19111111111	1	3	0.027472527472527476	NPAR
134.89999389648438	158	26447.19238425926	1	11	0.09945750452079566	NPAR
124.80000305175781	158	26447.193703703702	1	8	0.07233273056057866	NPAR
114.9000015258789	170	26447.195046296296	1	3	0.02521008403361345	NPAR
104.9000015258789	174	26447.196423611113	1	5	0.041050903119868636	NPAR
98	54	26447.197337962964	1	0	0	NPAR
93.5	76	26447.19784722222	1	0	0	NPAR
88.4000015258789	70	26447.198414351853	1	2	0.04081632653061224	NPAR
83.4000015258789	74	26447.198993055557	1	1	0.019305019305019305	NPAR
78.4000015258789	72	26447.199571759258	1	2	0.03968253968253968	NPAR
73.5	74	26447.200150462962	1	2	0.03861003861003861	NPAR
68.4000015258789	72	26447.200717592594	1	3	0.05952380952380953	NPAR
63.400001525878906	76	26447.201319444444	1	1	0.01879699248120301	NPAR
58.400001525878906	70	26447.201932870372	1	2	0.04081632653061224	NPAR
53.400001525878906	70	26447.202546296296	1	2	0.04081632653061224	NPAR
48.400001525878906	68	26447.20314814815	1	1	0.02100840336134454	NPAR
43.400001525878906	74	26447.203761574074	1	8	0.15444015444015444	NPAR
38.5	78	26447.20440972222	1	7	0.12820512820512822	NPAR
33.5	78	26447.205023148148	1	7	0.12820512820512822	NPAR
28.5	78	26447.20565972222	1	7	0.12820512820512822	NPAR
23.700000762939453	68	26447.20627314815	1	15	0.3151260504201681	NPAR
18.399999618530273	66	26447.206828703704	1	11	0.2380952380952381	NPAR
13.399999618530273	64	26447.207384259258	1	6	0.13392857142857142	NPAR
8.399999618530273	68	26447.20795138889	1	14	0.29411764705882354	NPAR
3	92	26447.20861111111	1	18	0.27950310559006214	NPAR
0.699999988079071	8	26447.211921296297	1	2	0.35714285714285715	NPAR
970.9000244140625	20	26447.583229166667	2	0	0	PAR
985.29998779296875	20	26447.6665625	2	0	0	PAR
989	20	26447.749895833334	2	0	0	PAR
990.9000244140625	20	26447.833229166667	2	0	0	PAR
993.5999755859375	20	26447.9165625	2	0	0	PAR
996.5999755859375	20	26447.999895833334	2	0	0	PAR
998.5	20	26448.083229166667	2	0	0	PAR
1001.0999755859375	20	26448.1665625	2	0	0	PAR
1001.2999877929688	20	26448.249895833334	2	0	0	PAR
1003.2000122070312	20	26448.333229166667	2	0	0	PAR
1004.5999755859375	20	26448.4165625	2	0	0	PAR
1003.7999877929688	105	26448.471921296295	2	0	0	NPAR
990.70001220703125	120	26448.47443287037	2	1	0.011904761904761904	NPAR
969.70001220703125	110	26448.477048611112	2	0	0	NPAR
949.79998779296875	115	26448.479652777776	2	0	0	NPAR
930.4000244140625	115	26448.482314814813	2	0	0	NPAR
910.0999755859375	100	26448.48480324074	2	1	0.014285714285714285	NPAR
890.0999755859375	100	26448.487118055556	2	0	0	NPAR
870.0999755859375	105	26448.48949074074	2	0	0	NPAR
850.0999755859375	110	26448.491990740742	2	0	0	NPAR
829.9000244140625	115	26448.494583333333	2	1	0.012422360248447204	NPAR
809.9000244140625	120	26448.49730324074	2	0	0	NPAR
789.79998779296875	100	26448.49984953704	2	0	0	NPAR
769.5999755859375	105	26448.50222222222	2	0	0	NPAR
749.79998779296875	105	26448.504652777778	2	0	0	NPAR
730.0999755859375	115	26448.507199074073	2	0	0	NPAR
710.20001220703125	120	26448.509930555556	2	1	0.011904761904761904	NPAR
689.9000244140625	100	26448.512465277778	2	0	0	NPAR
669.70001220703125	105	26448.514837962965	2	0	0	NPAR
649.9000244140625	105	26448.517268518517	2	0	0	NPAR
629.79998779296875	115	26448.519814814816	2	0	0	NPAR
609.70001220703125	115	26448.522476851853	2	0	0	NPAR
