,precision,recall,f1-score,folder,model_size
accuracy,0.8800758627696684,0.8800758627696684,0.8800758627696684,3_5_50_1000,1.97341156749504
macro avg,0.5776013674812229,0.71654829442664,0.6310031347041665,3_5_50_1000,1.97341156749504
weighted avg,0.9024711773459705,0.8800758627696684,0.888068694985488,3_5_50_1000,1.97341156749504
living macro avg,0.5113865795158443,0.6689807718495304,0.5711055786144514,3_5_50_1000,1.97341156749504
living weighted avg,0.443769379781935,0.6248952221290863,0.5148621651657859,3_5_50_1000,1.97341156749504
accuracy,0.9155349341280862,0.9155349341280862,0.9155349341280862,2_3_25_1000,6.9356308244755205
macro avg,0.7713722952816623,0.6778173272253103,0.7056916418959406,2_3_25_1000,6.9356308244755205
weighted avg,0.9128118911228333,0.9155349341280862,0.9132940480112715,2_3_25_1000,6.9356308244755205
living macro avg,0.7453576443689343,0.6212959055804554,0.6598682289478737,2_3_25_1000,6.9356308244755205
living weighted avg,0.6117675696281338,0.5746018440905281,0.5841272519703845,2_3_25_1000,6.9356308244755205
accuracy,0.9220882582043554,0.9220882582043554,0.9220882582043554,1_7_0_1000,22.36085518680192
macro avg,0.8484174595187408,0.6121729809483482,0.6923895326403365,1_7_0_1000,22.36085518680192
weighted avg,0.9142944942022485,0.9220882582043554,0.9150475293999142,1_7_0_1000,22.36085518680192
living macro avg,0.8361999096499979,0.5439044359131532,0.6427376817487485,1_7_0_1000,22.36085518680192
living weighted avg,0.7231652790002036,0.4951802179379715,0.5741365975435412,1_7_0_1000,22.36085518680192
accuracy,0.8865445185762184,0.8865445185762184,0.8865445185762184,2_7_50_1000,4.77716066253312
macro avg,0.617541420074063,0.7055182930822897,0.6478225149382937,2_7_50_1000,4.77716066253312
weighted avg,0.905368711922551,0.8865445185762184,0.8931850356897475,2_7_50_1000,4.77716066253312
living macro avg,0.560213937515597,0.6551945091344591,0.5914886464906999,2_7_50_1000,4.77716066253312
living weighted avg,0.4704496249453206,0.6343252305113161,0.5356129906022541,2_7_50_1000,4.77716066253312
accuracy,0.9144511802756798,0.9144511802756798,0.9144511802756798,3_3_25_1000,4.134239212356481
macro avg,0.7389196473327825,0.6646949819879591,0.687248489022932,3_3_25_1000,4.134239212356481
