,accuracy,precision_macro,recall_macro,living_precision_w,living_recall_w,learning_rate,max_depth,n_detritus,loading_time,folder_name,n_class,n_trees,n_nodes
0,0.4350967561858302,0.5134111011146063,0.48499915178340697,0.5997611694063655,0.6018763029881863,4,7,5,270.41376299999996,4_7_5_500,15,142,435561
0,0.2638758932621155,0.36499050417959644,0.31330317934102403,0.5726792716092316,0.5565670604586519,2,5,10,683.134051,2_5_10_1000,20,847,989367
0,0.7962109510049893,0.5865853738451828,0.6042745069669583,0.5478687575264061,0.5076094510076442,1,3,1,40.099803,1_3_1_250,11,250,41221
0,0.5170818042546713,0.5543450139183548,0.5771542421730992,0.6077532599630532,0.6165045170257123,1,5,3,533.088845,1_5_3_1000,13,1000,774165
0,0.43719649704862706,0.5207151243090016,0.49508713399892795,0.609696789583053,0.6166435024322446,3,5,5,327.127087,3_5_5_1000,15,534,474749
0,0.8007751913396791,0.5967776054947257,0.636047148291103,0.5600164210747536,0.5575052119527449,2,3,1,40.073711,2_3_1_250,11,250,41177
0,0.8073122999774801,0.6190191620098237,0.6792125922095797,0.5835054913781264,0.6255733148019458,2,3,1,159.682275,2_3_1_1000,11,1000,163675
0,0.8098751256831295,0.6353715660443628,0.6773576617812016,0.5957132482833518,0.6337039610840862,2,7,1,355.817747,2_7_1_250,11,250,573629
0,0.8042261249631276,0.6069079640789241,0.6613212620217481,0.5712120044764302,0.5984016678248784,4,3,1,40.007295,4_3_1_250,11,250,41065
0,0.514157391753918,0.5438857686161346,0.5626517527544388,0.5908107655208714,0.6040305767894371,5,7,3,171.786791,5_7_3_1000,13,102,276961
0,0.43770398728736953,0.5331586843323105,0.4910975189411724,0.6215966687323679,0.613273106323836,1,7,5,1378.3980809999998,1_7_5_1000,15,732,2219037
0,0.808983845951338,0.6347347252924644,0.6764686737765975,0.5953185508476267,0.6350590687977762,3,7,1,270.633165,3_7_1_500,11,190,436315
0,0.8077119485404898,0.6191605054191788,0.6784108247644953,0.5840495353143239,0.627901320361362,3,5,1,113.265329,3_5_1_250,11,250,164603
0,0.43378045337909205,0.507977148307494,0.48295179061484456,0.5917056827427505,0.5959694232105629,5,7,5,192.992153,5_7_5_250,15,101,310906
0,0.4352838932113665,0.5091092499139694,0.48721407318268106,0.5984843095306966,0.6079569145239749,5,5,5,180.104467,5_5_5_500,15,293,261524
0,0.26152557909393964,0.3567117838434758,0.30579802332628037,0.5548903406775167,0.5389159138290479,4,7,10,349.76442499999996,4_7_10_250,20,143,562365
0,0.808983845951338,0.6347347252924644,0.6764686737765975,0.5953185508476267,0.6350590687977762,3,7,1,270.633165,3_7_1_1000,11,190,436315
